num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,T=300k
0,0,2,1,0,1,1,0,10,1.4474854
3,0,1,0,2,2,1,0,6,1.4857538
2,0,1,1,4,1,0,0,9,1.8335928
0,0,0,1,1,1,0,0,12,0.85046643
4,0,0,0,2,0,0,2,4,1.2895316
2,0,1,0,1,1,1,1,5,1.1582195
2,1,0,1,4,1,0,0,9,1.5778029
0,2,0,1,3,0,0,1,8,1.5765647
4,0,0,0,2,2,0,1,4,1.1211177
3,1,0,0,1,1,1,1,5,1.4378861
1,1,0,1,1,1,0,1,8,1.3685023
6,1,0,0,5,1,0,0,8,1.9597464
5,0,0,0,4,0,0,1,5,1.5528294
3,2,0,0,3,1,1,0,7,2.016938
1,1,0,1,2,2,0,0,9,1.2206352
1,1,0,1,1,0,1,1,7,1.6441085
1,2,1,0,3,2,0,0,8,1.8631272
4,1,0,0,3,0,2,0,6,1.7518382
3,1,1,0,4,0,1,0,8,1.8156453
1,2,0,0,2,0,1,1,5,1.5225052
1,1,0,1,1,1,1,0,9,1.3843031
0,1,1,0,1,0,0,2,5,1.3224322
0,3,1,0,2,0,0,1,9,1.9048302
0,2,0,1,0,0,1,1,8,1.2627723
2,2,0,0,2,2,1,0,6,1.8869766
3,0,0,1,2,0,0,1,8,1.4257152
1,0,0,1,0,0,1,1,6,0.99119323
3,0,0,1,1,2,1,0,7,1.419008
1,1,0,1,0,2,0,1,7,1.3029344
4,1,0,0,1,2,0,1,6,1.8150778
3,0,0,0,1,1,1,1,3,0.99872041
0,1,2,0,2,0,0,1,8,1.4895129
2,2,0,1,3,1,0,0,10,1.7070975
2,2,0,0,0,1,1,1,6,1.521799
0,1,0,1,2,0,0,0,13,1.1482577
1,0,1,1,0,0,1,1,8,1.344362
2,3,0,0,2,1,1,0,8,1.7134126
5,0,0,1,6,0,0,0,9,1.6137255
3,2,0,0,3,1,1,0,7,1.959995
1,1,0,0,1,0,0,1,3,1.5322696
2,1,0,0,1,2,0,1,4,1.4844861
3,1,0,0,3,1,0,1,5,1.6867553
2,0,0,1,1,0,0,2,6,1.2531995
1,1,2,0,4,1,0,0,9,1.6755862
3,1,0,1,4,1,0,0,9,1.7474229
4,2,0,0,5,1,0,0,8,1.9671334
3,2,0,0,2,1,0,1,7,1.8864447
3,0,2,0,4,1,0,0,9,1.6745429
1,0,1,1,1,2,0,0,10,1.2426069
1,0,2,1,3,0,0,0,12,1.3882074
5,0,0,0,3,2,1,0,5,1.5334262
2,0,0,1,2,0,2,0,7,1.3696204
0,2,1,0,2,0,0,1,7,1.6152508
2,0,0,1,2,1,0,1,7,1.3353107
4,0,1,0,3,1,1,0,7,1.822158
4,1,1,0,4,1,0,0,9,2.0190625
3,2,0,0,3,1,1,0,7,1.8071635
4,0,1,0,2,0,2,0,7,1.5984744
2,0,0,1,1,2,1,0,7,1.3297315
2,1,1,0,1,1,0,1,7,1.6088626
1,0,3,0,3,1,0,0,10,1.7832847
1,2,1,0,2,1,1,0,8,1.704748
3,0,1,0,2,1,0,1,6,1.5689818
2,0,1,0,3,0,0,1,5,1.617299
1,0,3,0,1,2,0,0,10,1.5815911
3,1,1,0,2,1,1,0,8,1.9954876
4,0,0,1,4,1,0,0,9,1.6432338
1,2,1,0,2,1,1,0,8,1.8460852
2,1,0,1,3,0,1,0,9,1.3418591
1,2,0,1,2,2,0,0,9,1.7449105
2,1,1,0,2,1,0,1,7,1.752827
2,2,0,0,2,0,0,1,6,1.7025663
0,0,3,0,1,1,1,0,9,1.3995239
3,2,1,0,5,0,0,0,10,1.8193603
2,1,1,0,1,0,1,1,7,1.7360706
0,2,0,1,1,3,0,0,8,1.3802176
3,1,1,0,4,0,1,0,8,1.8637657
2,1,0,1,1,0,2,0,8,1.3666691
2,2,0,0,0,1,1,1,6,1.500108
2,1,1,1,4,0,0,0,11,1.584741
4,0,0,1,3,2,0,0,8,1.6351357
1,0,1,1,2,1,0,0,11,1.3877043
2,0,1,1,1,1,1,0,9,1.4907901
0,0,3,0,2,2,0,0,9,1.1965734
1,0,0,2,3,1,0,0,10,1.5290272
3,1,1,0,3,2,0,0,8,1.790612
2,1,1,0,2,0,2,0,7,1.4598317
1,0,2,0,3,0,0,1,7,1.5389452
1,0,1,0,0,0,0,2,4,1.202546
2,1,1,0,2,0,2,0,7,1.5860385
1,1,0,2,4,0,0,0,11,1.6908693
3,1,0,0,2,1,0,1,5,1.7035292
1,1,1,0,2,0,1,1,6,1.2313482
0,0,0,2,1,0,1,0,11,1.045485
2,0,2,0,3,2,0,0,8,1.3804791
1,3,0,0,1,2,1,0,7,1.8244103
1,1,1,1,2,0,1,0,10,1.7622339
0,1,1,1,3,0,0,0,12,1.3528568
1,1,0,1,3,0,0,1,7,1.5592614
2,2,0,1,3,1,0,0,10,1.8892785
2,2,1,0,2,2,0,0,9,1.7994889
0,2,1,0,1,2,1,0,7,1.4740143
1,1,2,0,3,0,1,0,9,1.5770683
3,0,2,0,4,1,0,0,9,1.7115425
3,1,0,0,1,1,1,1,5,1.6015303
0,2,1,1,4,0,0,0,11,1.571283
1,1,0,0,0,1,0,2,3,1.1497887
1,0,0,2,2,0,1,0,10,1.3449578
2,1,0,1,2,2,0,0,9,1.5942868
2,0,1,1,2,2,0,0,9,1.6274951
1,3,1,0,5,0,0,0,10,1.8846264
1,0,2,0,0,1,2,0,7,1.2085969
4,0,1,0,3,1,1,0,7,1.5157119
3,2,0,0,3,1,1,0,7,2.0495775
2,4,0,0,5,0,0,0,10,1.819783
1,0,0,1,1,0,0,1,9,1.120635
0,1,0,1,0,0,0,1,7,1.0577488
1,3,0,1,4,0,0,0,11,1.7113899
1,1,1,0,1,1,2,0,6,1.643072
