num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,ZT
1,2,0,0,2,0,0,1,5,1.0741644
0,1,1,0,2,0,0,1,5,1.1296388
0,1,0,1,1,0,0,1,6,1.2893734
0,0,1,0,0,0,0,2,3,1.2294126
1,0,1,0,0,0,1,1,4,1.2303877
1,0,1,0,1,1,0,1,4,1.4190148
0,1,1,0,0,1,0,1,5,1.2960018
1,0,1,0,1,1,0,1,4,1.1054688
2,0,1,0,2,0,0,1,5,1.0997859
0,1,1,0,2,0,0,1,5,1.052923
0,0,2,0,1,0,0,1,6,1.0601586
0,0,0,1,0,0,1,1,4,1.3794199
1,0,0,1,0,1,0,1,5,1.4714891
1,0,0,1,2,0,0,1,5,1.3079302
0,1,0,1,1,0,0,1,6,1.2221999
0,0,0,1,0,1,0,1,5,1.4159187
1,0,0,1,1,0,0,1,6,1.3654377
0,0,0,1,1,0,0,1,6,1.393777
0,0,0,1,0,0,0,1,7,1.3100845
1,0,0,0,0,0,0,2,1,0.87118536
2,0,0,0,0,0,0,2,2,0.98532259
2,0,0,0,1,0,0,2,2,1.0764486
1,1,0,0,0,0,0,2,3,1.0125786
2,0,0,0,0,1,0,2,2,1.0180176
3,0,0,0,1,0,0,2,3,1.1130071
1,1,0,0,1,0,0,2,3,1.2702066
1,0,1,0,0,0,0,2,4,1.2207427
2,0,0,0,0,0,2,1,2,1.063591
3,0,0,0,0,1,1,1,3,1.1365855
3,0,0,0,2,0,1,1,3,1.221153
2,1,0,0,1,0,1,1,4,1.1860975
1,1,0,0,0,1,1,1,3,1.20444
2,1,0,0,1,0,1,1,4,1.1878983
1,0,1,0,1,0,1,1,4,1.2792124
1,0,0,1,0,0,1,1,5,1.3749741
2,0,0,0,0,1,0,2,2,1.1105949
3,0,0,0,0,1,1,1,3,1.1714869
3,0,0,0,1,2,0,1,3,1.0918599
2,1,0,0,0,2,0,1,4,1.1709441
3,0,0,0,1,2,0,1,3,1.1757655
4,0,0,0,2,1,0,1,4,1.0900542
2,1,0,0,2,1,0,1,4,1.1654565
2,0,1,0,1,1,0,1,5,1.1526116
1,1,0,0,0,1,1,1,3,1.130303
2,1,0,0,0,2,0,1,4,1.1563683
2,1,0,0,2,1,0,1,4,1.2611815
1,2,0,0,1,1,0,1,5,1.1802166
1,0,1,0,0,2,0,1,4,1.4357463
2,0,1,0,1,1,0,1,5,1.3394703
1,0,0,1,1,1,0,1,5,1.5077966
1,0,0,1,0,1,0,1,6,1.4971318
2,0,0,0,1,0,0,2,2,1.1240249
3,0,0,0,1,0,0,2,3,1.1512231
3,0,0,0,2,0,1,1,3,1.1400532
2,1,0,0,1,0,1,1,4,1.0846027
3,0,0,0,1,2,0,1,3,1.1762522
4,0,0,0,2,1,0,1,4,1.0979102
2,1,0,0,2,1,0,1,4,1.1133794
2,0,1,0,1,1,0,1,5,1.3316097
3,0,0,0,2,0,1,1,3,1.0839527
4,0,0,0,2,1,0,1,4,1.1893013
4,0,0,0,4,0,0,1,4,1.0590128
3,1,0,0,3,0,0,1,5,1.0936762
2,1,0,0,2,1,0,1,4,1.2065201
3,1,0,0,3,0,0,1,5,1.1012439
2,0,1,0,3,0,0,1,5,1.1657839
2,0,0,1,2,0,0,1,6,1.3297191
1,1,0,0,1,0,0,2,3,1.107994
2,1,0,0,1,0,1,1,4,1.133472
2,1,0,0,2,1,0,1,4,1.1519023
1,2,0,0,1,1,0,1,5,1.229314
2,1,0,0,2,1,0,1,4,1.1381246
3,1,0,0,3,0,0,1,5,1.1049771
1,2,0,0,3,0,0,1,5,1.0829782
1,1,1,0,2,0,0,1,6,1.0506079
1,0,1,0,1,0,1,1,4,1.1487511
2,0,1,0,1,1,0,1,5,1.3373191
2,0,1,0,3,0,0,1,5,1.1317246
1,1,1,0,2,0,0,1,6,1.0640104
1,0,0,1,1,1,0,1,5,1.3997271
2,0,0,1,2,0,0,1,6,1.1160787
1,0,0,1,2,0,0,1,6,1.4167217
1,0,0,1,1,0,0,1,7,1.3758657
0,1,0,0,0,0,0,2,2,0.99199176
1,1,0,0,0,0,0,2,3,1.0461923
1,1,0,0,1,0,0,2,3,1.1244742
0,2,0,0,0,0,0,2,4,1.0450959
1,1,0,0,0,1,1,1,3,1.0883044
2,1,0,0,1,0,1,1,4,1.0676562
0,2,0,0,1,0,1,1,4,1.121074
0,1,1,0,0,0,1,1,5,1.2662936
1,1,0,0,0,1,1,1,3,1.1501224
2,1,0,0,0,2,0,1,4,1.1775695
2,1,0,0,2,1,0,1,4,1.1473215
1,2,0,0,1,1,0,1,5,1.0104836
0,2,0,0,0,2,0,1,4,1.1774875
1,2,0,0,1,1,0,1,5,1.1076088
0,1,1,0,1,1,0,1,5,1.3518804
0,1,0,1,0,1,0,1,6,1.3362321
1,1,0,0,1,0,0,2,3,1.1124399
2,1,0,0,1,0,1,1,4,1.1373532
