1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
234,1.1164237,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
235,1.1755931,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
236,1.1597266,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
237,1.0967799,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
238,1.1792357,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
239,1.156665,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
240,1.2187134,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
241,1.3237714,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
242,1.3862871,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
243,1.3591132,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
244,1.6164757,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
245,1.397005,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
246,1.352867,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
247,1.2685521,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
248,1.3459021,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
249,1.3366023,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
250,1.427964,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
251,1.5285538,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
252,1.4365908,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
253,1.4023162,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
254,1.4263269,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
255,1.382476,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
256,1.3813924,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
257,1.3171486,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
258,1.0116055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
259,0.96040022,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
260,0.979375,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
261,1.0071979,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
262,1.0405461,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
263,1.0482928,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
264,1.3050157,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
265,1.0677698,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
266,1.1390868,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
267,1.1679661,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
268,1.0681744,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
269,1.1985736,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
270,1.1502409,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
271,1.287007,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
