1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
225,1.4207617,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1
226,1.072062,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
227,1.6923678,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1
228,1.1552527,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1
229,1.3222225,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1
230,1.4615031,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1
231,1.1633395,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
232,1.8460766,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
233,1.5604026,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1
234,1.441878,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
235,1.6680373,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1
236,1.5833507,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0
237,1.8798623,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1
238,1.4472823,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
239,1.5904956,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1
240,1.6801157,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1
241,1.446365,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1
242,1.3885394,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
243,1.4761387,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1
244,1.8134596,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
245,1.4958909,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
246,1.5301496,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
247,1.4104218,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
248,1.5550263,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
249,1.8237779,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1
250,1.7407212,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
251,1.3232979,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
252,1.1876924,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
253,1.5978345,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1
254,2.1690218,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1
255,1.6419342,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
256,2.0832641,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
257,1.6567556,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0
258,1.4050657,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1
259,1.8147955,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1
260,1.4949577,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0
261,1.2506347,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
262,1.1025541,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
263,1.536902,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1
264,1.5187678,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0
265,1.386754,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
266,1.8542758,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
267,1.8814375,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1
268,1.5153344,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1
269,1.3498218,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0
270,1.4615403,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
271,1.1341271,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
272,1.7681102,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0
273,1.9137353,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
