score,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8
0.97405279,0,0,0,1,0,3,0,0
1.0409586,0,0,0,1,0,3,0,1
1.0562471,0,0,0,1,0,3,0,2
1.2592927,0,0,0,1,0,3,0,3
1.0691941,0,0,0,1,0,3,1,0
1.1420664,0,0,0,1,0,3,1,1
1.1685569,0,0,0,1,0,3,1,2
1.2820041,0,0,0,1,0,3,1,3
1.1021268,0,0,0,1,0,3,2,0
1.2088622,0,0,0,1,0,3,2,1
1.1728764,0,0,0,1,0,3,2,2
1.3169148,0,0,0,1,0,3,2,3
1.2570053,0,0,0,1,0,3,3,0
1.2114803,0,0,0,1,0,3,3,1
1.2064385,0,0,0,1,0,3,3,2
1.2544174,0,0,0,1,0,3,3,3
0.67453438,0,0,0,1,1,0,0,0
0.76495028,0,0,0,1,1,0,0,1
0.8181209,0,0,0,1,1,0,0,2
0.97943825,0,0,0,1,1,0,0,3
0.78821957,0,0,0,1,1,0,1,0
0.78094262,0,0,0,1,1,0,1,1
0.93738025,0,0,0,1,1,0,1,2
1.0516061,0,0,0,1,1,0,1,3
0.88932937,0,0,0,1,1,0,2,0
1.0119209,0,0,0,1,1,0,2,1
0.9087674,0,0,0,1,1,0,2,2
1.1471269,0,0,0,1,1,0,2,3
1.0972329,0,0,0,1,1,0,3,0
1.1438906,0,0,0,1,1,0,3,1
1.1585656,0,0,0,1,1,0,3,2
1.2887712,0,0,0,1,1,0,3,3
0.70910823,0,0,0,1,1,1,0,0
0.81641054,0,0,0,1,1,1,0,1
0.91804677,0,0,0,1,1,1,0,2
1.1035361,0,0,0,1,1,1,0,3
0.70206565,0,0,0,1,1,1,1,0
0.71110988,0,0,0,1,1,1,1,1
0.90628338,0,0,0,1,1,1,1,2
0.9808836,0,0,0,1,1,1,1,3
0.90201074,0,0,0,1,1,1,2,0
0.99969751,0,0,0,1,1,1,2,1
0.95925903,0,0,0,1,1,1,2,2
1.1594412,0,0,0,1,1,1,2,3
1.002717,0,0,0,1,1,1,3,0
0.9620924,0,0,0,1,1,1,3,1
0.9969039,0,0,0,1,1,1,3,2
1.0991272,0,0,0,1,1,1,3,3
0.83471948,0,0,0,1,1,2,0,0
0.96669304,0,0,0,1,1,2,0,1
0.98769736,0,0,0,1,1,2,0,2
1.199141,0,0,0,1,1,2,0,3
0.93046272,0,0,0,1,1,2,1,0
0.97647697,0,0,0,1,1,2,1,1
1.0063438,0,0,0,1,1,2,1,2
1.1637998,0,0,0,1,1,2,1,3
0.89010435,0,0,0,1,1,2,2,0
0.97055829,0,0,0,1,1,2,2,1
0.96198446,0,0,0,1,1,2,2,2
1.1724586,0,0,0,1,1,2,2,3
1.1523267,0,0,0,1,1,2,3,0
1.1140478,0,0,0,1,1,2,3,1
1.1312293,0,0,0,1,1,2,3,2
1.2370887,0,0,0,1,1,2,3,3
0.99406105,0,0,0,1,1,3,0,0
1.1428775,0,0,0,1,1,3,0,1
1.1731931,0,0,0,1,1,3,0,2
1.3832982,0,0,0,1,1,3,0,3
0.94981819,0,0,0,1,1,3,1,0
0.97178018,0,0,0,1,1,3,1,1
1.0983866,0,0,0,1,1,3,1,2
1.1850488,0,0,0,1,1,3,1,3
1.0082803,0,0,0,1,1,3,2,0
1.1191943,0,0,0,1,1,3,2,1
1.0339544,0,0,0,1,1,3,2,2
1.2094238,0,0,0,1,1,3,2,3
1.1219708,0,0,0,1,1,3,3,0
1.0139406,0,0,0,1,1,3,3,1
1.0448306,0,0,0,1,1,3,3,2
1.0928938,0,0,0,1,1,3,3,3
0.71780831,0,0,0,1,2,0,0,0
0.87969697,0,0,0,1,2,0,0,1
0.78227836,0,0,0,1,2,0,0,2
0.96577853,0,0,0,1,2,0,0,3
0.87517387,0,0,0,1,2,0,1,0
0.99639064,0,0,0,1,2,0,1,1
0.79997176,0,0,0,1,2,0,1,2
1.0651011,0,0,0,1,2,0,1,3
0.89954782,0,0,0,1,2,0,2,0
0.96138859,0,0,0,1,2,0,2,1
0.9382689,0,0,0,1,2,0,2,2
1.0874431,0,0,0,1,2,0,2,3
1.1118846,0,0,0,1,2,0,3,0
1.1902096,0,0,0,1,2,0,3,1
1.1027361,0,0,0,1,2,0,3,2
1.3012325,0,0,0,1,2,0,3,3
0.82907957,0,0,0,1,2,1,0,0
0.99866897,0,0,0,1,2,1,0,1
0.95360208,0,0,0,1,2,1,0,2
1.1607951,0,0,0,1,2,1,0,3
0.93034846,0,0,0,1,2,1,1,0
0.99212128,0,0,0,1,2,1,1,1
0.94693315,0,0,0,1,2,1,1,2
1.1422398,0,0,0,1,2,1,1,3
0.92029601,0,0,0,1,2,1,2,0
0.98342377,0,0,0,1,2,1,2,1
1.0117786,0,0,0,1,2,1,2,2
1.1672215,0,0,0,1,2,1,2,3
1.1194184,0,0,0,1,2,1,3,0
1.1012424,0,0,0,1,2,1,3,1
1.0713031,0,0,0,1,2,1,3,2
1.2004311,0,0,0,1,2,1,3,3
0.83270282,0,0,0,1,2,2,0,0
1.0041256,0,0,0,1,2,2,0,1
0.93578726,0,0,0,1,2,2,0,2
1.1449941,0,0,0,1,2,2,0,3
0.86566746,0,0,0,1,2,2,1,0
0.96650207,0,0,0,1,2,2,1,1
0.9466278,0,0,0,1,2,2,1,2
1.1398083,0,0,0,1,2,2,1,3
0.89986223,0,0,0,1,2,2,2,0
0.92517424,0,0,0,1,2,2,2,1
0.8985098,0,0,0,1,2,2,2,2
1.0124321,0,0,0,1,2,2,2,3
1.0991424,0,0,0,1,2,2,3,0
1.082552,0,0,0,1,2,2,3,1
1.018536,0,0,0,1,2,2,3,2
1.1444288,0,0,0,1,2,2,3,3
1.0500494,0,0,0,1,2,3,0,0
1.2059957,0,0,0,1,2,3,0,1
1.1691464,0,0,0,1,2,3,0,2
1.3771132,0,0,0,1,2,3,0,3
1.0183049,0,0,0,1,2,3,1,0
1.1203257,0,0,0,1,2,3,1,1
1.010305,0,0,0,1,2,3,1,2
1.2017351,0,0,0,1,2,3,1,3
1.0397165,0,0,0,1,2,3,2,0
1.0774615,0,0,0,1,2,3,2,1
1.0958048,0,0,0,1,2,3,2,2
1.2266961,0,0,0,1,2,3,2,3
1.1752621,0,0,0,1,2,3,3,0
1.1129625,0,0,0,1,2,3,3,1
1.05941,0,0,0,1,2,3,3,2
1.1470232,0,0,0,1,2,3,3,3
0.90635538,0,0,0,1,3,0,0,0
1.0079666,0,0,0,1,3,0,0,1
0.98004472,0,0,0,1,3,0,0,2
1.109046,0,0,0,1,3,0,0,3
1.0692592,0,0,0,1,3,0,1,0
1.1278144,0,0,0,1,3,0,1,1
1.1034735,0,0,0,1,3,0,1,2
1.224757,0,0,0,1,3,0,1,3
1.1032293,0,0,0,1,3,0,2,0
1.1858302,0,0,0,1,3,0,2,1
1.1563196,0,0,0,1,3,0,2,2
1.2529242,0,0,0,1,3,0,2,3
1.3106948,0,0,0,1,3,0,3,0
1.2694529,0,0,0,1,3,0,3,1
1.2341558,0,0,0,1,3,0,3,2
1.4654992,0,0,0,1,3,0,3,3
0.86957163,0,0,0,1,3,1,0,0
1.0058794,0,0,0,1,3,1,0,1
1.042858,0,0,0,1,3,1,0,2
1.2022973,0,0,0,1,3,1,0,3
0.9484123,0,0,0,1,3,1,1,0
0.95287901,0,0,0,1,3,1,1,1
1.0203763,0,0,0,1,3,1,1,2
1.0919125,0,0,0,1,3,1,1,3
1.0422096,0,0,0,1,3,1,2,0
1.1037385,0,0,0,1,3,1,2,1
1.1311741,0,0,0,1,3,1,2,2
1.2289271,0,0,0,1,3,1,2,3
1.1564875,0,0,0,1,3,1,3,0
1.0925027,0,0,0,1,3,1,3,1
1.1190087,0,0,0,1,3,1,3,2
1.1913288,0,0,0,1,3,1,3,3
0.88018298,0,0,0,1,3,2,0,0
1.0659053,0,0,0,1,3,2,0,1
1.0150377,0,0,0,1,3,2,0,2
1.207894,0,0,0,1,3,2,0,3
1.019423,0,0,0,1,3,2,1,0
1.1128211,0,0,0,1,3,2,1,1
1.0724525,0,0,0,1,3,2,1,2
1.2055243,0,0,0,1,3,2,1,3
1.0074904,0,0,0,1,3,2,2,0
1.0797411,0,0,0,1,3,2,2,1
0.9898175,0,0,0,1,3,2,2,2
1.0824438,0,0,0,1,3,2,2,3
1.1652858,0,0,0,1,3,2,3,0
1.0994803,0,0,0,1,3,2,3,1
1.1180168,0,0,0,1,3,2,3,2
1.2025622,0,0,0,1,3,2,3,3
1.0484127,0,0,0,1,3,3,0,0
1.2125989,0,0,0,1,3,3,0,1
1.2055317,0,0,0,1,3,3,0,2
1.455438,0,0,0,1,3,3,0,3
0.9210819,0,0,0,1,3,3,1,0
1.0158691,0,0,0,1,3,3,1,1
1.0608832,0,0,0,1,3,3,1,2
1.1448928,0,0,0,1,3,3,1,3
0.96686584,0,0,0,1,3,3,2,0
1.1135083,0,0,0,1,3,3,2,1
1.0427679,0,0,0,1,3,3,2,2
1.1761308,0,0,0,1,3,3,2,3
1.0650631,0,0,0,1,3,3,3,0
